url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
https://www.hulu.com/movie/b3d33be7-0cb3-4753-bb25-c28bcdd558fa,"The Queen",Movie,"Biography, Drama",2006,tt0436697,7.3,116798,JP
,"The Talented Mr. Ripley",Movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,255273,JP
,"Hannibal Rising",Movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,117459,JP
,"Letters from Iwo Jima",Movie,"Action, Adventure, Drama",2006,tt0498380,7.8,171734,JP
https://www.hulu.com/movie/9d02a3d0-3b1e-4723-933d-d345ccd9cc95,"The Host",Movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,135226,"JP, US"
,"Because I Said So",Movie,"Comedy, Romance",2007,tt0490084,5.6,40604,US
,"Street Kings",Movie,"Action, Crime, Thriller",2008,tt0421073,6.8,122467,JP
,300,Movie,"Action, Drama",2006,tt0416449,7.6,876306,JP
,"The Dreamers",Movie,"Drama, Romance",2003,tt0309987,7.1,134532,JP
,"Sex and Lucía",Movie,"Drama, Romance",2001,tt0254455,7,39213,JP
,"Lights in the Dusk",Movie,"Crime, Drama",2006,tt0458242,6.8,8167,JP
,"Y tu mamá también",Movie,Drama,2001,tt0245574,7.7,130528,US
,Nostalghia,Movie,Drama,1983,tt0086022,7.9,30837,JP
,"La Vie En Rose",Movie,"Biography, Drama, Music",2007,tt0450188,7.5,91535,JP
,"The Departed",Movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1449537,JP
,"The Warrior",Movie,"Action, Drama, History",2001,tt0275083,7.2,11324,JP
https://www.hulu.com/movie/9a9afed9-bafa-4d73-b68f-d07581794135,"The Virgin Suicides",Movie,"Drama, Romance",1999,tt0159097,7.2,173114,JP
,Immortality,Movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6213,JP
,"Superman Returns",Movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,293395,JP
,"Miss Congeniality",Movie,"Action, Comedy, Crime",2000,tt0212346,6.3,235020,JP
,"Kingdom of Heaven",Movie,"Action, Adventure, Drama",2005,tt0320661,7.3,323641,US
https://www.hulu.com/movie/64f563fc-2467-4c2b-b70e-48ee34b5106d,"Spy Game",Movie,"Action, Crime, Thriller",2001,tt0266987,7.1,169782,JP
,Collateral,Movie,"Action, Crime, Drama",2004,tt0369339,7.5,440214,JP
,"Office Space",Movie,Comedy,1999,tt0151804,7.6,293379,US
https://www.hulu.com/movie/6cd96079-fd77-4717-b30d-2b1ff6412a6e,"28 Weeks Later",Movie,"Horror, Sci-Fi",2007,tt0463854,6.9,299372,US
,"Live Free or Die Hard",Movie,"Action, Thriller",2007,tt0337978,7.1,424342,"JP, US"
,"Die Hard with a Vengeance",Movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,413402,"JP, US"
,"Die Hard 2",Movie,"Action, Thriller",1990,tt0099423,7.1,388180,US
,Chicago,Movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,246657,JP
,"The Holiday",Movie,"Comedy, Romance",2006,tt0457939,7,329103,JP
https://www.hulu.com/movie/6249be77-7b1a-4842-bdc2-b326f1861a0d,"What's Eating Gilbert Grape",Movie,Drama,1993,tt0108550,7.7,257807,JP
https://www.hulu.com/movie/c21cff44-7fbd-4462-9cd2-a9c8013ca28b,"Bring It On",Movie,"Comedy, Romance, Sport",2000,tt0204946,6.1,108171,JP
https://www.hulu.com/movie/29c89abf-b956-4893-add2-804ce0dbe5d7,"Night at the Museum",Movie,"Adventure, Comedy, Family",2006,tt0477347,6.5,384886,"JP, US"
https://www.hulu.com/movie/f841188b-3029-419e-83a4-240c2f5614da,Speed,Movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,399724,JP
,"Speed 2: Cruise Control",Movie,"Action, Adventure, Crime",1997,tt0120179,3.9,87140,JP
,"A Time to Kill",Movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,185967,JP
,"King Kong vs. Godzilla",Movie,"Adventure, Comedy, Fantasy",1962,tt13364334,6.2,2268,JP
,"Beneath the Planet of the Apes",Movie,"Action, Adventure, Sci-Fi",1970,tt0065462,6,54758,US
,"Escape from the Planet of the Apes",Movie,"Action, Sci-Fi",1971,tt0067065,6.3,42084,US
,"Conquest of the Planet of the Apes",Movie,"Action, Sci-Fi",1972,tt0068408,6.1,38323,US
,"Con Air",Movie,"Action, Crime, Thriller",1997,tt0118880,6.9,324597,US
,"Battle for the Planet of the Apes",Movie,"Action, Sci-Fi",1973,tt0069768,5.4,35885,US
,Copycat,Movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,67726,JP
https://www.hulu.com/movie/e937cb30-cc11-4e4e-99f1-ed489de85c7d,"The Cider House Rules",Movie,"Drama, Romance",1999,tt0124315,7.4,105937,JP
,"Jesus Camp",Movie,Documentary,2006,tt0486358,7.4,28955,US
,"The Piano Teacher",Movie,"Drama, Music",2001,tt0254686,7.5,73855,JP
,Transformers,Movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,684870,JP
,Sunflower,Movie,"Drama, War",1970,tt0065782,7.3,4652,JP
https://www.hulu.com/movie/6839891c-fe1a-4981-aa35-8f419c0f4631,"Pirates of the Caribbean: On Stranger Tides",Movie,"Action, Adventure, Fantasy",2011,tt1298650,6.6,573920,US
,"The Beach",Movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,257341,US
,"The Bow",Movie,"Drama, Romance",2005,tt0456470,7.1,11913,JP
,Bandidas,Movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37702,US
,"Death Proof",Movie,"Action, Drama, Thriller",2007,tt1028528,7,318919,JP
,"Planet Terror",Movie,"Action, Comedy, Horror",2007,tt1077258,7,225947,JP
,"Sister Act",Movie,"Comedy, Family, Music",1992,tt0105417,6.5,110945,JP
,"The Mourning Forest",Movie,Drama,2007,tt1016205,6.7,2937,JP
,Hostage,Movie,"Action, Crime, Drama",2005,tt0340163,6.5,114112,JP
,"Training Day",Movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,483070,JP
,"The Lake House",Movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,159469,JP
,"The Getaway",Movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20098,US
,"Gappa the Triphibian Monster",Movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1782,JP
,"L.A. Confidential",Movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,629014,JP
,"The Perfect Storm",Movie,"Action, Adventure, Drama",2000,tt0177971,6.5,181023,JP
,"Cop Land",Movie,"Crime, Drama, Thriller",1997,tt0118887,7,108813,JP
,Big,Movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,244834,US
,Beowulf,Movie,"Action, Adventure, Animation",2007,tt0442933,6.3,175725,JP
,"Executive Decision",Movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,62359,JP
,Taxi,Movie,"Action, Comedy, Crime",1998,tt0152930,7,90972,JP
,"Taxi 4",Movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31267,JP
,"10 Items or Less",Movie,"Comedy, Drama",2006,tt0499603,6.5,16431,JP
,"The Young Girls of Rochefort",Movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12410,JP
,"Joint Security Area",Movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35124,JP
,Eragon,Movie,"Action, Adventure, Family",2006,tt0449010,5.1,131469,US
,"The Princess Bride",Movie,"Adventure, Comedy, Family",1987,tt0093779,8,457862,US
,"The Bourne Identity",Movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,585317,JP
,"The Bourne Supremacy",Movie,"Action, Mystery, Thriller",2004,tt0372183,7.7,493218,JP
,"The Bourne Ultimatum",Movie,"Action, Mystery, Thriller",2007,tt0440963,8,664678,JP
,"The Specialist",Movie,"Action, Drama, Thriller",1994,tt0111255,5.6,70737,JP
https://www.hulu.com/movie/e5307026-7b10-4359-a60d-0101624fb9ec,"The Blair Witch Project",Movie,"Horror, Mystery",1999,tt0185937,6.5,294032,JP
,"Sleepy Hollow",Movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,391484,JP
,Ringu,Movie,"Horror, Mystery",1998,tt0178868,7.2,79605,JP
,Signs,Movie,"Drama, Mystery, Sci-Fi",2002,tt0286106,6.8,394191,US
,"The Abyss",Movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,197601,US
,"Addams Family Values",Movie,"Comedy, Fantasy",1993,tt0106220,6.8,113067,JP
,"The Addams Family",Movie,"Comedy, Fantasy",1991,tt0101272,6.9,185358,JP
,"One on Top of the Other",Movie,"Horror, Mystery, Thriller",1969,tt0065148,6.6,2768,JP
,"Doctor Dolittle",Movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,103473,US
,"The Searchers",Movie,"Adventure, Drama, Western",1956,tt0049730,7.8,98075,JP
,"Battle Royale",Movie,"Action, Adventure, Drama",2000,tt0266308,7.5,197150,JP
,"Battle Royale II",Movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21661,JP
,"Good Night, and Good Luck.",Movie,"Biography, Drama, History",2005,tt0433383,7.4,102020,JP
