url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Maria Full of Grace",Movie,"Crime, Drama",2004,tt0390221,7.4,36480,"AG, AR, BA, BB, BG, BO, BR, BS, CL, CO, CR, CZ, DO, GT, HN, HR, HU, JM, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, SI, SK, SV, TT, US, UY, VE"
,Caché,Movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86543,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"Leaving Las Vegas",Movie,"Drama, Romance",1995,tt0113627,7.5,137421,"AG, BB, BS, HN, NI, TT, US"
,"Erin Brockovich",Movie,"Biography, Drama",2000,tt0195685,7.4,226655,"BE, CZ, ES, FR, RO"
,"Stranger Than Paradise",Movie,"Comedy, Drama",1984,tt0088184,7.4,41294,"AG, BB, BS, HN, NI, TT, US"
,"Bonnie and Clyde",Movie,"Action, Biography, Crime",1967,tt0061418,7.7,122436,"AR, BE, BO, BR, CL, CO, CR, FR, GT, MC, MX, PE, SV, UY"
,"Good Will Hunting",Movie,"Drama, Romance",1997,tt0119217,8.3,1098354,"AG, BB, BS, ES, HN, NI, RS, TT"
,"The Seventh Seal",Movie,"Drama, Fantasy",1957,tt0050976,8.1,202516,"AG, BB, BS, HN, NI, TT, US"
,"The Green Mile",Movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1440433,"AR, BE, BO, BR, CL, CO, CR, DK, FI, FR, GT, MX, NO, PE, SV, UY"
,"Cléo from 5 to 7",Movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28360,"AG, BB, BS, HN, NI, TT, US"
,Poseidon,Movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111663,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,Monster,Movie,"Biography, Crime, Drama",2003,tt0340855,7.3,164832,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,Marnie,Movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,54902,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Notting Hill",Movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,351874,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"One Flew Over the Cuckoo's Nest",Movie,Drama,1975,tt0073486,8.7,1090508,"AR, BO, BR, CL, CO, CR, GT, MX, NL, PE, SV, UY"
,Scoop,Movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,88413,"FR, MC"
,"Wallace & Gromit: The Curse of the Were-Rabbit",Movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,148405,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Terminator Salvation",Movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,381641,"BA, BG, HN, HR, HU, MD, ME, MK, SI, SK, US"
,Flashdance,Movie,"Drama, Music, Romance",1983,tt0085549,6.2,60675,"AG, BB, BS, HN, NI, TT"
,Psycho,Movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,733492,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,D.E.B.S.,Movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18310,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"The Crime of Padre Amaro",Movie,"Drama, Romance",2002,tt0313196,6.7,14550,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,Rashomon,Movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,184297,"AG, BB, BS, HN, NI, TT, US"
,Basquiat,Movie,"Biography, Drama",1996,tt0115632,6.9,22431,"HN, US"
,Spider-Man,Movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,899352,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Spider-Man 2",Movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,726194,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
